English & Pinyin,Chinese
Depend on / Kào,靠
Monkey king / Sūnwùkōng,孙悟空
Monkey / Hóuzi,猴子
Piggy / Zhūbājiè,猪八戒
Monk Sha / Shā wù jìng,沙悟净
To protect / Bǎohù,保护
Tang Buddhist monk / Tang sānzàng,唐三藏
Pilgrimage / Qujīng,取经
To remove / Jiěchú,解除
Dire peril / Wéinàn,危难
Master and disciples / Shĩ tú,师徒
To possess / Jùyǒu,具有
Responsible / Fùzé,负责
Neither... nor / Bù... Yě bù...,不。。。也不。。。
Climate / Qìhòu,气候
Otherwise / Bùrán,不然
Go down / Xiàjiàng,下降
Ρ.Ε. / Tiyù,体育
Drama / Xijù,戏剧
To be good at / Shàncháng,擅长
Competition / Jingzhēng,竞争
Acute / Jīliè,激烈
To organize / Zűzhī,组织
To select / Xuăn,选
To take photos / To graduate / Zhàoxiàng / Bìyè,照相 / 毕业
Photographer / Shèying shĩ,摄影师
Photographer (PRC) / Shèxiàng shĩ,摄像师
Strict / Yángé,严格
Chinese language / Huàyŭ,话语
President of association / Shè zhăng,社长
AP class / Xiān xiū kè,先修课
Is a pity that / Reflections / Kěxí / Gănxiăng,可惜 / 感想
Reporter / Jizhě,记者
Harvest/grains / Shōuhuò,收获
To vote / Tóupiào,投票
Difficulties / Kùnnán,困难
Trouble / Máfan,麻烦
To grasp firmly / Băwò,把握
Logic / Luójí,逻辑
Member / Shèyuán,社员
Kite / Fēngzhēng,风筝
Hold / Jūxíng,举行
For/towards / Duìyú,对于
Depends / Hěn jù,狠据
To explain / Shuōmíng,说明
Most / Dà bùfèn,大部分
Belong / Shŭyú,属于
Four distinct seasons / Sìjì fēnmíng,四季分明
Temperature difference / Wēnchā,温差
Hot / Yánrè,炎热
Rainfall / Jiàngyŭ,降雨
Continental / Dàlù,大陆
Dry / Gānzào,干燥
Millimeter / Háomi,毫米
Rich/plentiful / Fēngfù,丰富
To have / Zhànyǒu,占有
Quantity / amount / Liàng,量
Insufficient / Bùzú,不足
Complete / Qíquán,齐全
Output / Chănliàng,产量
Absolutely / decidedly / Duàn,断
To grow / increase / Zēngzhăng,增长
Coal / Stockpile / Méitàn / Chúcún,煤炭 / 储存
Take possession of / Zhàn,占
Exploit / develop / Kāifā,开发
Use / Liyòng,利用
Urgently need / Jíxū,急需
Barely / only / Jin,仅
Serious / Yánzhòng,严重
Water shortage / One of / Quē shuǐ / Zhī yī,缺水 / 之一
Pollution / Wūrăn,污染
Drainage / Liúshī,流失
Not only / Bùjin,不仅
To reduce / Jiàngdī,降低
Body of water / Shuiti,水体
To use / Shiyòng,使用
Intensify / Shortage / Jiā jù / Duănquē,家剧 / 短缺
Contradictory / Máodùn,矛盾
Beijing opera / Jīngjù,京剧
Convenience / Fāngbiàn,方便
In the end / Dàodǐ,到底
Expect / Yùliào,预料
After hardship comes happiness / Kŭjìngānlái,苦尽甘来
Stay / Dai,呆
Qualified / Zīgé,资格
Register / Bàomíng,报名
Prize / Jiăngpin,奖品
Cash / Xiànjīn,现金
Cell phone / Shǒujī yī zhī,手机一支
Please call / Qing diàn,请电
Disappoint / Shīwàng,失望
Depressed / Jūsàng,沮丧
To hold / Róng,容
To doubt / Zhiyí,置疑
To unify / Tăngyī,统一
Meaningful / Nèihán,内涵
Not only / Bùzhǐ,不仅
Unique / Dútè,独特
Benefit / Hǎochù,好处
Widespread / Půjí,普及
Range / Fànwéi,范围
To involve / Shèjí,涉及
Society / Shèhuì,社会
Hierarchy / Jiēcéng,阶层
Sparrow / Mahjong / Májiàng,麻将
Ancient / Gũ,古
Farmer / Nóngfū,农夫
Field / Tián lĩ,田里
Seedling / Miáozi,苗子
Than the other / Bǐ bié,比别
Early morning / Qīngchén,清晨
Carrying / Kángzhe,扛着
Hoe / Chútóu,锄头
Rice seedlings / Dào miáo,稻苗
Anxious / Zhāojí,着急
How / Zěnyàng cái,怎样才
Can make / Néng ràng,能让
At last/finally / Zhōngyú,终于
Come up with / Xiăng chủ,想出
By hand / Yòng shou,用手
Groups / Yī kē kē,一棵棵
Evening / Bàngwăn,傍晚
Pleasure / Zī zī,滋滋
Excitement / Jīdòng,激动
Full of / Mănhuái,满怀
Investigate / De chá,地察
Situation / Qingkuàng,情况
Eager / Jíyú,急于
Violates / Wéifăn,违反
Things / Shìwù,事物
Development / Fāzhăn,发展
Objective / Kèguān,客观
Laws / Guīlü,规律
Feudal / Fēngjiàn,封建
Society / Shèhuì,社会
Selection / Xuǎnbá,选拔
Management / Guǎnlĩ,管理
Increase / Zēngduō,增多
The way / Fāngshì,方式
Constantly / Bùduàn,不断
Enter / Jinrù,进入
Appear / Chūxiàn,出现
To improve / Găiliáng,改良
Many and varied / Fánduō,繁多
Standing collar / Lilíng,醴陵
Lapel / Jīn,襟
Tight / Jin,紧
To buy / Gõu,狗
Special requirement / Jin jiū,进究
According to / Material / Gēnjù / Miànliào,根据 / 面料
Tint/coloring / Sècăi,色彩
Bright colored / Xiānyàn,鲜艳
Exterior appearance / Wàiguān,外观
Steady / Wěnzhòng,稳重
Dainty / elegant / Gãoyā,高雅
Prominent / Emerge / Túchū / Zhănxiàn,突出 / 展现
Body type / Tixíng,体型
According to / Anzhào,按照
Popularized / Dàzhònghuà,大众化
Exact / Zhũnquè,准确
Bust / Xiōngwéi,胸围
Waist / Yāowéi,腰围
Hip / Tún wéi,臀围
Sleeve / Xiùzi,袖子
Whether / Shifõu,是否
Adequate / Chōngfèn,充分
To reveal / Zhǎnshì,展示
Large scale / Guǎngdà,广大
To favor / Qīnglài,青睐
Han ethnic group / Hàn mínzú,汉民族
Minority / Shǎoshù mínzú,少数民族
Wine / Jiŭ,酒
Cemetery / Mùdi,墓地
To burn / Shão,烧
To fall / Diào,掉
Grave / Fénmù,坟墓
Insert / Chā,插
Greive / Dàoniàn,悼念
Exactly / Zhèng shì,正是
Spring plow / Chùngēng,春耕
Proverb / Súyŭ,俗语
Obscure / Ài,暖
Spring walk / Tàqīng,踏青
Swing / Dàng qiūqiān,荡秋千
