English & Pinyin,Chinese
Fishing / Diàoyú,钓鱼
Feel the same / Ràng wéi,让为
Apply to colleges / shēnqing,申请
Not only...but also / Bùdàn... You,不但。。。又
If not...then... / bùshì...Jiù,不是。。。就
Summer break / Shujià,暑假
To work part time / Dăgōng,打工
To camp / Lùyíng,露营
Vacation / Jiàqī,假期
Campus / Xiàoyuán,校园
Summer camp / Xiàlingyíng,夏令营
To work as / Dāng,当
Counselor / Fŭdǎo yuán,辅导员
To fulfill / Chōngshí,充实
Mountain climbing / Páshān,爬山
Rock climbing / Pānyán,攀岩
Others / Qítā,其他
To take care of / Zhàogù,照顾
Furthermore / Érqiě,而且
Grow up / Zhăng dà,长大
Essential / Gēnběn,根本
College entrance exam / Gãokão,高考
Once in a while / Õu'ěr,偶尔
To run into / Pèng dào,碰到
Continuously / Yīzhí,一直
Store clerk / Diànyuán,店员
Allowance / Língyòng qián,零用钱
Salary / Gōngzī,工资
Fast food restaurant / Sù shí diàn,速食店
Waiter/waitress / Fúwù shēng,服务生
Hard / tough / Xīnků,辛苦
Tip / Xiǎofèi,小费
Save money / Cún qián,存钱
Deliver newspapers / Song bàozhĩ,送报纸
Babysitter / Bǎomů,保姆
Volunteer / Yīgòng,一共
Staff / Zhíyuán,职员
Lifeguard / Jiùshēng yuán,救生员
Swimming pool / Yóuyongchí,游泳池
Moon festival / Zhōngqiū jié,中秋节
Lunar calendar / Nóngli,农历
Moon / Yuèliàng,月亮
Circle / Yuán,元
Traditional / Chuántăng,传统
Festival / Jiérì,节日
Moon cake / Yuèbing,月饼
Appreciate / Shăng,赏
Represent / Dàibião,代表
Reunion / Tuányuán,团圆
Mention / Tíqi,提起
To run / Bēn,奔
Story / Gùshì,故事
Legend / chuánshuō,传说
Curious / Hàoqí,好奇
Steal / Tōu,偷
Result / Jiéguǒ,结果
Miss someone / Sīniàn,思念
Describes action / Dé,Verb+得+adj.
Except that / Zhǐshì,phrase 只是
No longer / Bù zài,不再
Simply not / Gēnběn bù/méi,根本不/没
A has helped B / Long time no see / Duì... Yǒu bāngzhù / Hǎojiŭ bùjiàn,对。。。有帮助 / 好几不见
Future / Jiānglái,将来
Very / Ting,挺
Cheap / Piányí,便宜
Salty / Xián,咸
Sweet / Tián,甜
Sour / Suān,酸
Weird / Qíguài,奇怪
What city are you from? / Nǐ shì cóng năge chéngshì lái de?,你是从哪个城市来的?
In advance / Tíqián,提前
Due to / Yóuyú,由于
Vacation plan / Lũxíng jìhuà,旅行计划
Try / Chángshì,尝试
Different / Bùtóng,不同
Invite / Yaoqing,邀请
Social skills / Shèjiāo néngli,社交能力
Openness / Kāikuò,开阔
Outlook / Yǎnjiè,眼界
Blood type / Xiěxíng,血型
Clinic waiting room / Hòuzhěn shì,候诊室
Clinic / Zhěnsuǒ,诊所
Price / Jiàgé,价格
Rule / Guīzé,规则
Rope / Shéngzi,绳子
Winner / Pěng / guànjūn,捧场 / 冠军
Ride (bike) / Qi,骑
Company / Gōngsī,公司
Next to / Pángbiān,旁边
Or / Huòzhě,或者
Answer / Huídá,回答
Pretty / Piàoliang,漂亮
Win / Luo,贏
Clean up / Qīngli,清理
Design / Shėji,设计
Hamburger / Weekend / Hànbão / Zhōumò,汉堡 / 周末
Usually / Tōngcháng,通常
Note / Zhùyì,注意
McDonalds / Màidāngláo,麦当劳
Customer / Gùkè,顾客
Get off work / Xiàbān,下班
But / Even though / Bié kàn...... Kěshì,别看。。。可是
But / Què,却
Standard / Biāozhűn,标准
M.W. for clothing / Jiàn,件
Age / Niánlíng,年龄
Week / Zhōu,周
Gift / Līwù,礼物
Worry / Zhāojí,着急
Trouble / Máfan,麻烦
Concern / Guānxīn,关心
Casual / Suíbiàn,随便
Send / Fāle,发了
Situation / Qingkuàng,情况
Luggage / Xiāngzi,箱子
Attract / Mí zhù,迷住
Shame / Xiū què,羞却
Shy / Hàixiū,害羞
Not really / Bing,并+Neg
Scenic view / Jingsè,景色
Unlucky / Dǎoméi,倒霉
Passive voice / Bèi,被
Personality / Gèxìng,个性
Appearance / Wàibião,外表
Brave / Yǒnggǎn,勇敢
Self-confident / Zìxìn,自信
Happy/optimistic / Kāilăng,开朗
Humorous / Yōumò,幽默
Easygoing / Suíhe,随和
Straightforward / Zhí,直
Open / Kāifàng,开放
Cool (in looks) / Kù,酷
Introverted / Nèixiàng,内向
Careful/meticulous / Xìxīn,细心
Rebellious / Pànni,叛逆
Short / Ai,矮
Curly hair / Juănfă,卷发
Quiet / Wénjìng,文静
Shy / Hàixiū,害羞
Taiwan / Táiwān,台湾
Taipei / Táiběi,台北
Wear glasses / Dài yǎnjìng,戴眼镜
Strong / Zhuàng,壮
Smart / Côngmíng,聪明
Lively / Huópō,活泼
Extroverted / Wàixiàng,外向
Make friends / Jião péngyǒu,交朋友
Have common interests / Therefore / Zhitóngdàohé / Yīnci,志同道合 / 因此
To become / Chéng,成
On the internet / Zài wăngshàng,在网上
Email / Diànzĩ yóujiàn,电子邮件
In an instant / Zhuănyǎn jiān,转眼间
Secret / Mìmì,秘密
California / Jiāzhōu,加州
Handsome / Shuài,帅
Capable / Nénggàn,能干
Get along well / able to talk to / Tán dé lái,谈得来
To concentrate on / Zhuānxīn,专心
To waste / Làngfèi,浪费
Romantic love / Àiqíng,爱情
To understand / Liǎojiě,了解
To take seriously / Rènzhēn,认真
Otherwise / Bùrán,不然
Breakup / To be sad / Fēnshǒu / Shāngxīn,分手 / 伤心
Because / Yóuyú,由于
Pressure / Yāli,压力
To let / allow / Ideal / Ràng / Lixiăng,让 / 理想
Capability / Néngli,能力
Celebrity / Mingxīng,明星
Martial arts / Gōngfū,功夫
Don't mind / Bù zàiyì,不在意
Media / Méiti,媒体
Panda / Mãoxióng,猫熊
Age / Niánjì,年纪
Get to meet / Rènshí,认识
Actor / Yănyuán,演员
Depend on / Kào,靠
Monkey king / Sūnwùkōng,孙悟空
Journey to the west / Xīyó jì,西游记
Character in a novel / Rénwù,人物
Monkey / Hóuzi,猴子
Piggy / Zhūbājiè,猪八戒
Monk Sha / Shā wù jìng,沙悟净
To protect / Bǎohù,保护
Kind / Shànliáng,善良
Tang Buddhist monk / Tang sānzàng,唐三藏
Western paradise / Xītiān,西天
Pilgrimage / Qujīng,取经
Gluttonous/lazy / Hàochīlănzuò,好吃懒做
Kind hearted / Xīndì liáng liáng,心地善良
To remove / Jiěchú,解除
Dire peril / Wéinàn,危难
Master and disciples / Shĩ tú,师徒
To possess / Jùyǒu,具有
A feeling for justice / Zhèngyì găn,正义感
Hero / Yīngxióng,英雄
Feeling/impression / gǎnjué,给人+ adj。+的感觉
Responsible / Fùzé,负责
Neither... nor / Bù... Yě bù...,不。。。也不。。。
Climate / Qìhòu,气候
Otherwise / Bùrán,不然
Go down / Xiàjiàng,下降
Biology / Shēngwù,生物
Ρ.Ε. / Tiyù,体育
Chemistry / Huàxué,化学
Drama / Xijù,戏剧
Art / Yishù,艺术
Subject / Kēmù,科目
Sciences / Likē,理科
Humanities / Wénkē,文科
Band / Yuèduì,乐队
Pass entrance exam / Kǎo shàng,考上
To be good at / Shàncháng,擅长
Competition / Jingzhēng,竞争
Acute / Jīliè,激烈
To organize / Zűzhī,组织
Competition / Bisài,比赛
To select / Xuăn,选
Credit / Xuéfēn,学分
Go / School clubs / Wéiqí / Shètuán,围棋 / 社团
To take photos / To graduate / Zhàoxiàng / Bìyè,照相 / 毕业
Yearbook / Jiniàncè,纪念册
Photographer / Shèying shĩ,摄影师
Photographer (PRC) / Shèxiàng shĩ,摄像师
Extracurricular activities / Kèwài huódòng,课外活动
Chorus / Héchàng,合唱
Required courses / Bìxiū kè,必修课
Elective courses / Xuǎnxiū kē,选修科
Physics / Wuli,物理
Strict / Yángé,严格
Plan / Dăsuàn,打算
Karaoke / Kǎlā OK,卡拉OK
Chinese language / Huàyŭ,话语
Debate / Bāngzhù,帮助
Interesting / fun / Yõuqù,有趣
President of association / Shè zhăng,社长
AP class / Xiān xiū kè,先修课
Is a pity that / Reflections / Kěxí / Gănxiăng,可惜 / 感想
Reporter / Jizhě,记者
To interview / Căifăng,采访
Harvest/grains / Shōuhuò,收获
To vote / Tóupiào,投票
Cheer on / Jiāyóu,加油
Difficulties / Kùnnán,困难
Trouble / Máfan,麻烦
Schoolwork / Kèyè,课业
To grasp firmly / Băwò,把握
To lay equal stress on / Bìngzhòng,并重
To apply for / Shēnging,申请
Public Speaking / Gōngkāi yǎnjiăng,公开演讲
Logic / Luójí,逻辑
Organic Chemistry / Yǒujī huàxué,有机化学
Fiction to Film / Xiǎoshuō diànying,小说电影
Electricity and Magnetism / Diàn hé cíxìng,电和磁性
Kung Fu master / Gōngfū gãoshǒu,功夫高手
Martial arts / Wŭshù,武术
Member / Shèyuán,社员
Event / Huódòng,活动
Kite / Fēngzhēng,风筝
Eat healthy / Chĩ dé gèng jiànkāng,吃得更健康
Chinatown / Zhōngguó chéng,中国城
Hold / Jūxíng,举行
Opinion / Kànfǎ,看法
For/towards / Duìyú,对于
Depends / Hěn jù,狠据
To explain / Shuōmíng,说明
Most / Dà bùfèn,大部分
Belong / Shŭyú,属于
Continental Monsoon Climate / Dàlù jìfēng xìng qìhòu,大陆季风性气候
Four distinct seasons / Sìjì fēnmíng,四季分明
Temperature difference / Wēnchā,温差
Hot / Yánrè,炎热
Terrain / Dìshì,地势
Rainfall / Jiàngyŭ,降雨
Coastal areas / Yánhăi dìqū,沿海地区
Annual precipitation / Nián jiàngshuǐ liàng,年降水量
Continental / Dàlù,大陆
Dry / Gānzào,干燥
Degrees Celsius / Shèshìdù,摄氏度
Average / Fèn píngjūn,份平均
Millimeter / Háomi,毫米
Natural resource / Zìrán zīyuán,自然资源
Total / Zăng liàng,总量
Rich/plentiful / Fēngfù,丰富
Population / Rénkõu,人口
Per capita / Rénjūn,人均
To have / Zhànyǒu,占有
Quantity / amount / Liàng,量
Insufficient / Bùzú,不足
Mineral resources / Kuàngchăn zīyuán,矿产资源
Kind/type/category / Zhonglèi,种类
Complete / Qíquán,齐全
Oil / petroleum / Shíyóu,石油
Natural resource / Zīyuán,资源
Output / Chănliàng,产量
Absolutely / decidedly / Duàn,断
To grow / increase / Zēngzhăng,增长
Coal / Stockpile / Méitàn / Chúcún,煤炭 / 储存
Take possession of / Zhàn,占
Exploit / develop / Kāifā,开发
Use / Liyòng,利用
Course of events / Guòchéng,过程
Cause / Pollution / Zàochéng / Huánjìng wūrăn,造成 / 环境污染
Urgently need / Jíxū,急需
Humanity / Rénlèi,人类
Produce / Shēngchăn,生产
Barely / only / Jin,仅
Average / Píngjūn,平均
Standard / Shuipíng,水平
Serious / Yánzhòng,严重
Water shortage / One of / Quē shuǐ / Zhī yī,缺水 / 之一
Pollution / Wūrăn,污染
Drainage / Liúshī,流失
Day by day / Rì jǐn,日仅
Not only / Bùjin,不仅
To reduce / Jiàngdī,降低
Body of water / Shuiti,水体
To use / Shiyòng,使用
Function / capability / Gōngnéng,功能
Intensify / Shortage / Jiā jù / Duănquē,家剧 / 短缺
Contradictory / Máodùn,矛盾
Play / Huàjù,话剧
Beijing opera / Jīngjù,京剧
Convenience / Fāngbiàn,方便
Join / Jiā rén,加人
In the end / Dàodǐ,到底
Expect / Yùliào,预料
After hardship comes happiness / Kŭjìngānlái,苦尽甘来
Stay / Dai,呆
City / Shili,市立
Qualified / Zīgé,资格
All welcome / Yīgài huānyíng,一概欢迎
Register / Bàomíng,报名
Prize / Jiăngpin,奖品
Cash / Xiànjīn,现金
Cell phone / Shǒujī yī zhī,手机一支
Please call / Qing diàn,请电
Excited / Xīngfèn,兴奋
Happy / Gāoxìng,高兴
Angry / Shēngqì,生气
Worried / Dānxīn,担心
Disappoint / Shīwàng,失望
Irritated / Xīnfán,心烦
Depressed / Jūsàng,沮丧
Desires / Kěwàng,渴望
Relaxed / Fàngsōng,放松
Nervous / Jinzhāng,紧张
Cultural recreation / Wényú,文娱
Origin / Yóulái,由来
Opinions differ / Zhongshuōfēnyún,众说纷纭
Spring autumn / Come about / Chūnqiū zhànguó / Chănshēng,春秋战国 / 产生
Quintessence / Guócui,国粹
To hold / Róng,容
To doubt / Zhiyí,置疑
Social custom / Fēngsú,风俗
To unify / Tăngyī,统一
Meaningful / Nèihán,内涵
Not only / Bùzhǐ,不仅
Unique / Dútè,独特
Fun/interesting / Qùwèi,趣味
Benefit / Hǎochù,好处
Very / Shífēn,十分
Widespread / Půjí,普及
Range / Fànwéi,范围
To involve / Shèjí,涉及
Society / Shèhuì,社会
Hierarchy / Jiēcéng,阶层
Area / Lĩngyù,领域
Every family / Qiānjiā wàn hù,千家万户
Currently / Mùqián,目前
Region / Diqū,地区
Patient / Nàixīn,耐心
Sparrow / Mahjong / Májiàng,麻将
Destructive enthusiasm / Bámiáozhùzhăng,拔苗助长
Ancient / Gũ,古
Farmer / Nóngfū,农夫
Field / Tián lĩ,田里
Seedling / Miáozi,苗子
Than the other / Bǐ bié,比别
Early morning / Qīngchén,清晨
Carrying / Kángzhe,扛着
Hoe / Chútóu,锄头
Rice seedlings / Dào miáo,稻苗
Anxious / Zhāojí,着急
How / Zěnyàng cái,怎样才
Can make / Néng ràng,能让
At last/finally / Zhōngyú,终于
Come up with / Xiăng chủ,想出
By hand / Yòng shou,用手
Groups / Yī kē kē,一棵棵
Elevated / All day / Xiàngshàng bágão / Zhěng tiān,向上拔高 / 整天
Evening / Bàngwăn,傍晚
Pleasure / Zī zī,滋滋
Excitement / Jīdòng,激动
The next day / Dì èr tiān,第二天
Full of / Mănhuái,满怀
Investigate / De chá,地察
Situation / Qingkuàng,情况
Expect / Xiǎngdào,想到
Eager / Jíyú,急于
Hope for success / Qiú chéng,求成
Violates / Wéifăn,违反
Things / Shìwù,事物
Development / Fāzhăn,发展
Objective / Kèguān,客观
Laws / Guīlü,规律
Education / Jiàoyù,教育
Feudal / Fēngjiàn,封建
Society / Shèhuì,社会
System / Tixì,体系
Han dynasty / Cultivate / Cóng hàn cháo / Péiyăng,从汉朝 / 培养
Selection / Xuǎnbá,选拔
Management / Guǎnlĩ,管理
Famous / Zhùmíng,著名
College / Shūyuàn,书院
Increase / Zēngduō,增多
Qing dynasty / Last year / Qīngcháo / Mònián,清朝 / 末年
The way / Fāngshì,方式
Century / Shiji,世纪
Constantly / Bùduàn,不断
Perfect / Wánshàn,完善
Enter / Jinrù,进入
Private / Sīrén,私人
Once more / Chóngxĩn,重新
Appear / Chūxiàn,出现
Dress / clothing / Fúzhuāng / Zhuózhuāng,服装 / 着装
To improve / Găiliáng,改良
Many and varied / Fánduō,繁多
Structure / Jiégòu,结构
Standing collar / Lilíng,醴陵
Lapel / Jīn,襟
Tight / Jin,紧
Waist / Yāoshēn,腰身
To buy / Gõu,狗
Special requirement / Jin jiū,进究
According to / Material / Gēnjù / Miànliào,根据 / 面料
Texture / Zhídì,质地
Tint/coloring / Sècăi,色彩
Bright colored / Xiānyàn,鲜艳
Welcome a guest / Yíng bìn,迎宾
Exterior appearance / Wàiguān,外观
Steady / Wěnzhòng,稳重
Dainty / elegant / Gãoyā,高雅
Everyday clothes / Biànfú,便服
Follow one's heart / Suíxīnsuǒyù,随心所欲
Prominent / Emerge / Túchū / Zhănxiàn,突出 / 展现
Body type / Tixíng,体型
Attire / Chuānzhuó,穿着
Cozy / Shūshì,舒适
According to / Anzhào,按照
Popularized / Dàzhònghuà,大众化
Stature/build / Shēncái,身材
Exact / Zhũnquè,准确
Bust / Xiōngwéi,胸围
Waist / Yāowéi,腰围
Hip / Tún wéi,臀围
Collar / Fits body / Lingzi / Yī shēn,领子 / 衣身
Sleeve / Xiùzi,袖子
Whether / Shifõu,是否
Adequate / Chōngfèn,充分
To reveal / Zhǎnshì,展示
Characteristic / Tèzhēng,特征
Century / Shiji,世纪
Receive measure / Shēn shòu,深受
Large scale / Guǎngdà,广大
To favor / Qīnglài,青睐
Qing Ming festival / Qīngmíng jié,清明节
Solar calendar / Yánglì,阳历
Ancestor / Zŭxiān,祖先
Sweep tombs / Sǎomù,扫墓
Han ethnic group / Hàn mínzú,汉民族
Minority / Shǎoshù mínzú,少数民族
Customs / Xísú,习俗
As in past / Zh照旧,照旧
Wine / Jiŭ,酒
Food / Shípĩn,食品
Ritual money / Zhiqián,纸钱
Articles / Wùpin,物品
Cemetery / Mùdi,墓地
Food / Shíwù,食物
To burn / Shão,烧
To fall / Diào,掉
Grave / Fénmù,坟墓
New earth / Cover up / Xīn tù / Péi,新土 / 培
Insert / Chā,插
Kowtow / Kòu tóu,叩头
Greive / Dàoniàn,悼念
Offer sacrifice / Jì bài,祭拜
Martyr / Lièshì,烈士
Exactly / Zhèng shì,正是
Spring plow / Chùngēng,春耕
Season / Shíjié,时节
Proverb / Súyŭ,俗语
Obscure / Ài,暖
Spring walk / Tàqīng,踏青
Swing / Dàng qiūqiān,荡秋千
Fly a kite / Fángfēng,防风
