English & Pinyin,Chinese
Simply not / Gēnběn bù/méi,根本不/没
Very / Ting,挺
Cheap / Piányí,便宜
Salty / Xián,咸
Sweet / Tián,甜
Sour / Suān,酸
Weird / Qíguài,奇怪
In advance / Tíqián,提前
Vacation plan / Lũxíng jìhuà,旅行计划
Try / Chángshì,尝试
Different / Bùtóng,不同
Invite / Yaoqing,邀请
Openness / Kāikuò,开阔
Outlook / Yǎnjiè,眼界
Blood type / Xiěxíng,血型
Clinic waiting room / Hòuzhěn shì,候诊室
Clinic / Zhěnsuǒ,诊所
Price / Jiàgé,价格
Rule / Guīzé,规则
Rope / Shéngzi,绳子
Winner / Pěng / guànjūn,捧场 / 冠军
Ride (bike) / Qi,骑
Next to / Pángbiān,旁边
Or / Huòzhě,或者
Answer / Huídá,回答
Pretty / Piàoliang,漂亮
Win / Luo,贏
Clean up / Qīngli,清理
Design / Shėji,设计
Note / Zhùyì,注意
McDonalds / Màidāngláo,麦当劳
But / Even though / Bié kàn...... Kěshì,别看。。。可是
But / Què,却
Standard / Biāozhűn,标准
M.W. for clothing / Jiàn,件
Gift / Līwù,礼物
Trouble / Máfan,麻烦
Casual / Suíbiàn,随便
Send / Fāle,发了
Situation / Qingkuàng,情况
Luggage / Xiāngzi,箱子
Attract / Mí zhù,迷住
Shame / Xiū què,羞却
Not really / Bing,并+Neg
Scenic view / Jingsè,景色
Unlucky / Dǎoméi,倒霉
Passive voice / Bèi,被
Appearance / Wàibião,外表
Humorous / Yōumò,幽默
Easygoing / Suíhe,随和
Straightforward / Zhí,直
Open / Kāifàng,开放
Cool (in looks) / Kù,酷
Introverted / Nèixiàng,内向
Rebellious / Pànni,叛逆
Short / Ai,矮
Curly hair / Juănfă,卷发
Quiet / Wénjìng,文静
Taiwan / Táiwān,台湾
Taipei / Táiběi,台北
Wear glasses / Dài yǎnjìng,戴眼镜
Strong / Zhuàng,壮
Lively / Huópō,活泼
Extroverted / Wàixiàng,外向
Have common interests / Therefore / Zhitóngdàohé / Yīnci,志同道合 / 因此
In an instant / Zhuănyǎn jiān,转眼间
Secret / Mìmì,秘密
California / Jiāzhōu,加州
Handsome / Shuài,帅
Capable / Nénggàn,能干
Get along well / able to talk to / Tán dé lái,谈得来
To waste / Làngfèi,浪费
Romantic love / Àiqíng,爱情
To understand / Liǎojiě,了解
To take seriously / Rènzhēn,认真
Otherwise / Bùrán,不然
To let / allow / Ideal / Ràng / Lixiăng,让 / 理想
Capability / Néngli,能力
Don't mind / Bù zàiyì,不在意
Media / Méiti,媒体
Panda / Mãoxióng,猫熊
Actor / Yănyuán,演员
Depend on / Kào,靠
Monkey king / Sūnwùkōng,孙悟空
Journey to the west / Xīyó jì,西游记
Monkey / Hóuzi,猴子
Piggy / Zhūbājiè,猪八戒
Monk Sha / Shā wù jìng,沙悟净
To protect / Bǎohù,保护
Tang Buddhist monk / Tang sānzàng,唐三藏
Pilgrimage / Qujīng,取经
Gluttonous/lazy / Hàochīlănzuò,好吃懒做
To remove / Jiěchú,解除
Dire peril / Wéinàn,危难
Master and disciples / Shĩ tú,师徒
To possess / Jùyǒu,具有
Responsible / Fùzé,负责
Neither... nor / Bù... Yě bù...,不。。。也不。。。
Otherwise / Bùrán,不然
Go down / Xiàjiàng,下降
Ρ.Ε. / Tiyù,体育
Drama / Xijù,戏剧
To be good at / Shàncháng,擅长
Competition / Jingzhēng,竞争
Acute / Jīliè,激烈
To organize / Zűzhī,组织
Competition / Bisài,比赛
To select / Xuăn,选
To take photos / To graduate / Zhàoxiàng / Bìyè,照相 / 毕业
Photographer / Shèying shĩ,摄影师
Photographer (PRC) / Shèxiàng shĩ,摄像师
Plan / Dăsuàn,打算
Karaoke / Kǎlā OK,卡拉OK
Chinese language / Huàyŭ,话语
Debate / Bāngzhù,帮助
President of association / Shè zhăng,社长
AP class / Xiān xiū kè,先修课
Is a pity that / Reflections / Kěxí / Gănxiăng,可惜 / 感想
Reporter / Jizhě,记者
To vote / Tóupiào,投票
Difficulties / Kùnnán,困难
Trouble / Máfan,麻烦
To grasp firmly / Băwò,把握
Logic / Luójí,逻辑
Member / Shèyuán,社员
Event / Huódòng,活动
Kite / Fēngzhēng,风筝
Eat healthy / Chĩ dé gèng jiànkāng,吃得更健康
Hold / Jūxíng,举行
For/towards / Duìyú,对于
Depends / Hěn jù,狠据
Most / Dà bùfèn,大部分
Belong / Shŭyú,属于
Four distinct seasons / Sìjì fēnmíng,四季分明
Continental / Dàlù,大陆
Dry / Gānzào,干燥
Average / Fèn píngjūn,份平均
Millimeter / Háomi,毫米
Total / Zăng liàng,总量
Rich/plentiful / Fēngfù,丰富
To have / Zhànyǒu,占有
Quantity / amount / Liàng,量
Insufficient / Bùzú,不足
Complete / Qíquán,齐全
Output / Chănliàng,产量
Absolutely / decidedly / Duàn,断
To grow / increase / Zēngzhăng,增长
Take possession of / Zhàn,占
Exploit / develop / Kāifā,开发
Use / Liyòng,利用
Urgently need / Jíxū,急需
Produce / Shēngchăn,生产
Barely / only / Jin,仅
Average / Píngjūn,平均
Standard / Shuipíng,水平
Not only / Bùjin,不仅
To reduce / Jiàngdī,降低
To use / Shiyòng,使用
Intensify / Shortage / Jiā jù / Duănquē,家剧 / 短缺
Contradictory / Máodùn,矛盾
Beijing opera / Jīngjù,京剧
Convenience / Fāngbiàn,方便
In the end / Dàodǐ,到底
Expect / Yùliào,预料
After hardship comes happiness / Kŭjìngānlái,苦尽甘来
Stay / Dai,呆
Qualified / Zīgé,资格
Register / Bàomíng,报名
Prize / Jiăngpin,奖品
Cash / Xiànjīn,现金
Cell phone / Shǒujī yī zhī,手机一支
Please call / Qing diàn,请电
Disappoint / Shīwàng,失望
Depressed / Jūsàng,沮丧
Relaxed / Fàngsōng,放松
Cultural recreation / Wényú,文娱
Spring autumn / Come about / Chūnqiū zhànguó / Chănshēng,春秋战国 / 产生
To hold / Róng,容
To doubt / Zhiyí,置疑
To unify / Tăngyī,统一
Meaningful / Nèihán,内涵
Not only / Bùzhǐ,不仅
Unique / Dútè,独特
Benefit / Hǎochù,好处
Widespread / Půjí,普及
Range / Fànwéi,范围
To involve / Shèjí,涉及
Society / Shèhuì,社会
Hierarchy / Jiēcéng,阶层
Area / Lĩngyù,领域
Currently / Mùqián,目前
Sparrow / Mahjong / Májiàng,麻将
Destructive enthusiasm / Bámiáozhùzhăng,拔苗助长
Ancient / Gũ,古
Farmer / Nóngfū,农夫
Field / Tián lĩ,田里
Seedling / Miáozi,苗子
Than the other / Bǐ bié,比别
Early morning / Qīngchén,清晨
Carrying / Kángzhe,扛着
Hoe / Chútóu,锄头
Rice seedlings / Dào miáo,稻苗
Anxious / Zhāojí,着急
How / Zěnyàng cái,怎样才
Can make / Néng ràng,能让
At last/finally / Zhōngyú,终于
Come up with / Xiăng chủ,想出
By hand / Yòng shou,用手
Groups / Yī kē kē,一棵棵
Evening / Bàngwăn,傍晚
Pleasure / Zī zī,滋滋
Excitement / Jīdòng,激动
Full of / Mănhuái,满怀
Investigate / De chá,地察
Situation / Qingkuàng,情况
Expect / Xiǎngdào,想到
Eager / Jíyú,急于
Violates / Wéifăn,违反
Things / Shìwù,事物
Development / Fāzhăn,发展
Objective / Kèguān,客观
Laws / Guīlü,规律
Education / Jiàoyù,教育
Feudal / Fēngjiàn,封建
Society / Shèhuì,社会
Selection / Xuǎnbá,选拔
Management / Guǎnlĩ,管理
Famous / Zhùmíng,著名
Increase / Zēngduō,增多
The way / Fāngshì,方式
Constantly / Bùduàn,不断
Perfect / Wánshàn,完善
Enter / Jinrù,进入
Appear / Chūxiàn,出现
Dress / clothing / Fúzhuāng / Zhuózhuāng,服装 / 着装
To improve / Găiliáng,改良
Many and varied / Fánduō,繁多
Standing collar / Lilíng,醴陵
Lapel / Jīn,襟
Tight / Jin,紧
Waist / Yāoshēn,腰身
To buy / Gõu,狗
Special requirement / Jin jiū,进究
According to / Material / Gēnjù / Miànliào,根据 / 面料
Texture / Zhídì,质地
Tint/coloring / Sècăi,色彩
Bright colored / Xiānyàn,鲜艳
Exterior appearance / Wàiguān,外观
Steady / Wěnzhòng,稳重
Dainty / elegant / Gãoyā,高雅
Prominent / Emerge / Túchū / Zhănxiàn,突出 / 展现
Body type / Tixíng,体型
Attire / Chuānzhuó,穿着
Cozy / Shūshì,舒适
According to / Anzhào,按照
Popularized / Dàzhònghuà,大众化
Stature/build / Shēncái,身材
Exact / Zhũnquè,准确
Bust / Xiōngwéi,胸围
Waist / Yāowéi,腰围
Hip / Tún wéi,臀围
Collar / Fits body / Lingzi / Yī shēn,领子 / 衣身
Sleeve / Xiùzi,袖子
Whether / Shifõu,是否
Adequate / Chōngfèn,充分
To reveal / Zhǎnshì,展示
Receive measure / Shēn shòu,深受
Large scale / Guǎngdà,广大
To favor / Qīnglài,青睐
Han ethnic group / Hàn mínzú,汉民族
Minority / Shǎoshù mínzú,少数民族
Wine / Jiŭ,酒
Cemetery / Mùdi,墓地
To burn / Shão,烧
To fall / Diào,掉
Grave / Fénmù,坟墓
Insert / Chā,插
Greive / Dàoniàn,悼念
Exactly / Zhèng shì,正是
Spring plow / Chùngēng,春耕
Proverb / Súyŭ,俗语
Obscure / Ài,暖
Spring walk / Tàqīng,踏青
Swing / Dàng qiūqiān,荡秋千
Fly a kite / Fángfēng,防风
